stock_code,corp_name,label,gics_sector,start_year,end_year
012210,삼미금속,0,Materials,2015,2025
318060,그래피,0,Materials,2015,2025
475230,엔알비,0,Materials,2015,2025
388610,지에프씨생명과학,0,Materials,2015,2025
489460,바이오비쥬,0,Materials,2015,2025
460870,에스엠씨지,0,Materials,2015,2025
393970,대진첨단소재,0,Materials,2015,2025
489500,엘케이켐,0,Materials,2015,2025
482630,삼양엔씨켐,0,Materials,2015,2025
474610,RF시스템즈,0,Materials,2015,2025
475660,에스켐,0,Materials,2015,2025
457370,한켐,0,Materials,2015,2025
295310,에이치브이엠,0,Materials,2015,2025
451250,삐아,0,Materials,2015,2025
420570,제이투케이바이오,0,Materials,2015,2025
453860,에이에스텍,0,Materials,2015,2025
452280,한선엔지니어링,0,Materials,2015,2025
352090,스톰테크,0,Materials,2015,2025
240600,유진테크놀로지,0,Materials,2015,2025
445180,퓨릿,0,Materials,2015,2025
146060,율촌,0,Materials,2015,2025
406820,뷰티스킨,0,Materials,2015,2025
354320,알멕,0,Materials,2015,2025
439090,마녀공장,0,Materials,2015,2025
285800,진영,0,Materials,2015,2025
344860,이노진,0,Materials,2015,2025
425040,티이엠씨,0,Materials,2015,2025
198940,한주라이트메탈,0,Materials,2015,2025
162300,신스틸,0,Materials,2015,2025
417500,제이아이테크,0,Materials,2015,2025
148930,에이치와이티씨,0,Materials,2015,2025
107600,새빗켐,0,Materials,2015,2025
365340,성일하이텍,0,Materials,2015,2025
112290,와이씨켐,0,Materials,2015,2025
413630,씨피시스템,0,Materials,2015,2025
396300,세아메카닉스,0,Materials,2015,2025
136410,아셈스,0,Materials,2015,2025
348370,엔켐,0,Materials,2015,2025
114840,아이패밀리에스씨,0,Materials,2015,2025
383310,에코프로에이치엔,0,Materials,2015,2025
352480,씨앤씨인터내셔널,0,Materials,2015,2025
059270,해성에어로보틱스,0,Materials,2015,2025
239890,피엔에이치테크,0,Materials,2015,2025
352700,씨앤투스,0,Materials,2015,2025
086710,선진뷰티사이언스,0,Materials,2015,2025
357550,석경에이티,0,Materials,2015,2025
352940,인바이오,0,Materials,2015,2025
265740,엔에프씨,0,Materials,2015,2025
318410,비비씨,0,Materials,2015,2025
357780,솔브레인,0,Materials,2015,2025
101360,에코앤드림,0,Materials,2015,2025
294140,레몬,0,Materials,2015,2025
340440,세림B&G,0,Materials,2015,2025
214260,라파스,0,Materials,2015,2025
332290,누보,0,Materials,2015,2025
286750,나노실리칸첨단소재,0,Materials,2015,2025
186230,그린플러스,0,Materials,2015,2025
317330,덕산테코피아,0,Materials,2015,2025
318000,KBG,0,Materials,2015,2025
251970,펌텍코리아,0,Materials,2015,2025
317240,TS트릴리온,0,Materials,2015,2025
278280,천보,0,Materials,2015,2025
110020,전진바이오팜,0,Materials,2015,2025
263020,디케이앤디,0,Materials,2015,2025
255220,SG,0,Materials,2015,2025
281740,레이크머티리얼즈,0,Materials,2015,2025
260930,씨티케이,0,Materials,2015,2025
227610,아우딘퓨쳐스,0,Materials,2015,2025
256630,포인트엔지니어링,0,Materials,2015,2025
251370,와이엠티,0,Materials,2015,2025
263770,유에스티,0,Materials,2015,2025
217480,에스디생명공학,0,Materials,2015,2025
237880,클리오,0,Materials,2015,2025
252500,세화피앤씨,0,Materials,2015,2025
241710,코스메카코리아,0,Materials,2015,2025
950140,잉글우드랩,0,Materials,2015,2025
238090,앤디포스,0,Materials,2015,2025
250930,예선테크,0,Materials,2015,2025
228340,동양파일,0,Materials,2015,2025
225530,HC보광산업,0,Materials,2015,2025
221980,케이디켐,0,Materials,2015,2025
226340,본느,0,Materials,2015,2025
225430,케이엠제약,0,Materials,2015,2025
196700,웹스,0,Materials,2015,2025
222810,세토피아,0,Materials,2015,2025
222420,쎄노텍,0,Materials,2015,2025
220260,켐트로스,0,Materials,2015,2025
060480,국일신동,0,Materials,2015,2025
140520,대창스틸,0,Materials,2015,2025
203690,아크솔루션스,0,Materials,2015,2025
198440,강동씨앤엘,0,Materials,2015,2025
187790,나노,0,Materials,2015,2025
171120,라이온켐텍,0,Materials,2015,2025
171010,램테크놀러지,0,Materials,2015,2025
170920,엘티씨,0,Materials,2015,2025
159910,에코글로우,0,Materials,2015,2025
121850,코이즈,0,Materials,2015,2025
104830,원익머트리얼즈,0,Materials,2015,2025
138070,신진에스엠,0,Materials,2015,2025
101240,씨큐브,0,Materials,2015,2025
137950,제이씨케미칼,0,Materials,2015,2025
123330,제닉,0,Materials,2015,2025
089980,상아프론테크,0,Materials,2015,2025
104480,티케이케미칼,0,Materials,2015,2025
121600,나노신소재,0,Materials,2015,2025
120240,대정화금,0,Materials,2015,2025
128660,피제이메탈,0,Materials,2015,2025
126600,BGF에코머티리얼즈,0,Materials,2015,2025
119500,포메탈,0,Materials,2015,2025
115570,스타플렉스,0,Materials,2015,2025
114630,폴라리스우노,0,Materials,2015,2025
080530,코디,0,Materials,2015,2025
109860,동일금속,0,Materials,2015,2025
102710,이엔에프테크놀로지,0,Materials,2015,2025
081150,티플랙스,0,Materials,2015,2025
083470,이엠앤아이,0,Materials,2015,2025
097870,효성오앤비,0,Materials,2015,2025
092070,디엔에프,0,Materials,2015,2025
095190,이엠코리아,0,Materials,2015,2025
095500,미래나노텍,0,Materials,2015,2025
027580,상보,0,Materials,2015,2025
093380,풍강,0,Materials,2015,2025
091970,나노캠텍,0,Materials,2015,2025
092730,네오팜,0,Materials,2015,2025
089010,켐트로닉스,0,Materials,2015,2025
083660,CSA 코스믹,0,Materials,2015,2025
022220,티케이지애강,0,Materials,2015,2025
043910,자연과환경,0,Materials,2015,2025
079000,와토스코리아,0,Materials,2015,2025
082660,코스나인,0,Materials,2015,2025
079170,한창산업,0,Materials,2015,2025
079650,서산,0,Materials,2015,2025
052900,KX하이텍,0,Materials,2015,2025
078130,국일제지,0,Materials,2015,2025
075970,동국알앤에스,0,Materials,2015,2025
073640,테라사이언스,0,Materials,2015,2025
074600,원익QnC,0,Materials,2015,2025
064760,티씨케이,0,Materials,2015,2025
021650,한국큐빅,0,Materials,2015,2025
016100,리더스코스메틱,0,Materials,2015,2025
065420,에스아이리소스,0,Materials,2015,2025
048410,현대바이오,0,Materials,2015,2025
065690,파커스,0,Materials,2015,2025
060230,제이케이시냅스,0,Materials,2015,2025
050760,에스폴리텍,0,Materials,2015,2025
054410,케이피티유,0,Materials,2015,2025
049550,잉크테크,0,Materials,2015,2025
060260,뉴보텍,0,Materials,2015,2025
060380,동양에스텍,0,Materials,2015,2025
035200,프럼파스트,0,Materials,2015,2025
053260,금강철강,0,Materials,2015,2025
041930,동아화성,0,Materials,2015,2025
056700,신화인터텍,0,Materials,2015,2025
044490,태웅,0,Materials,2015,2025
